"label","url"
"Improving accessibility with accessibility acceptance criteria","https://insidegovuk.blog.gov.uk/2018/01/24/improving-accessibility-with-accessibility-acceptance-criteria/"
"Capture your screen","https://getkap.co/"
"Studying students’ experience using guerrilla research. What worked and what didn’t.","https://medium.com/@vihra.rogacheva/guerrilla-research-in-university-setting-what-worked-and-what-didnt-259924b190be"
"My Accessibility Journey: What I’ve Learned So Far","http://alistapart.com/article/my-accessibility-journey-what-ive-learned-so-far"
"Automatic visual diffing with Puppeteer","https://meowni.ca/posts/2017-puppeteer-tests/"
"Net Promoter Score Considered Harmful (and What UX Professionals Can Do About It)","https://blog.usejournal.com/net-promoter-score-considered-harmful-and-what-ux-professionals-can-do-about-it-fe7a132f4430"
"AMPERSAND","https://2018.ampersandconf.com/"
"Org Design for Design Orgs: Building and Managing In-House Design Teams 1st Edition","https://www.amazon.com/Org-Design-Orgs-Building-House/dp/1491938404"
"buzzfeed/design","https://github.com/buzzfeed/design/blob/master/tech-leadership-principles.md"
"Why Your App Looks Better in Sketch","https://medium.com/@nathangitter/why-your-app-looks-better-in-sketch-3a01b22c43d7"
"We need to talk about design patterns","https://blog.prototypr.io/we-need-to-talk-about-patterns-8dcc73aff318"
"Asking the right questions to frame the problem","http://www.hollidazed.co.uk/2015/07/28/frame-the-problem/"
"Five User Research Rules of Thumb to Follow","https://medium.com/mixed-methods/five-user-research-rules-of-thumb-to-follow-a738d5c78957"
"The principles that make me a better product manager","https://medium.com/@rossferg/the-principles-that-make-me-a-better-product-manager-9e50814d184f"
"LIES arrow-stickers for the era of the Alternate Fact","http://boingboing.net/2017/02/08/lies-arrow-stickers-for-the-er.html"
"giving-a-fuck-about-climate-change/carbondoomsday","https://github.com/giving-a-fuck-about-climate-change/carbondoomsday"
"The most influential female designers of the last century","https://www.designweek.co.uk/issues/5-11-february-2018/the-most-influential-female-designers-of-the-last-century/"
".mdx proposal · Frontend Cafe","https://spectrum.chat/thread/1021be59-2738-4511-aceb-c66921050b9a"
"Explaining the role of a Delivery Manager","http://emilywebber.co.uk/what-is-an-agile-delivery-manager/"
"How to gain widespread adoption of your design system","https://medium.com/hubspot-product/how-to-gain-widespread-adoption-of-your-design-system-29d1b142b158"
"Fast Path to a Great UX – Increased Exposure Hours","https://articles.uie.com/user_exposure_hours/"
"I Accidentally Built A Brogrammer Culture. Now We’re Undoing It","https://www.fastcompany.com/40524955/i-accidentally-built-a-brogrammer-culture-now-were-undoing-it"
"Everything Easy is Hard Again","https://www.frankchimero.com/writing/everything-easy-is-hard-again/"
"Layout Land","https://www.youtube.com/channel/UC7TizprGknbDalbHplROtag"
"Scaling design: the case for narrative transformation","https://clearleft.com/posts/scaling-design-the-case-for-narrative-transformation"
"Using Conic Gradients and CSS Variables to Create a Doughnut Chart Output for a Range Input","https://css-tricks.com/using-conic-gradients-css-variables-create-doughnut-chart-output-range-input/"
"The musicality of design systems","https://publication.design.systems/the-musicality-of-design-systems-f090b2ec0213"
"Work culture is toxic to women. I’m finding joy anyway.","https://medium.com/no-you-go/thriving-in-a-toxic-culture-3aa0d78820ed"
"Content crits","http://contentdesign.london/content-design/content-crits/"
"Creating accessible and responsive search","https://pds.blog.parliament.uk/2018/02/16/creating-accessible-and-responsive-search/"
"PixelSnap","https://getpixelsnap.com"
"Sketch Plugins I Can’t Live Without","https://medium.com/sketch-app-sources/sketch-plugins-i-cant-live-without-1ed2b09dcc5c"